Date,Open,High,Low,Close,Adj Close,Volume
2022-10-17,44.250000,45.160000,43.759998,44.439999,44.439999,9118300
2022-10-18,45.840000,46.130001,43.785000,44.669998,44.669998,7836200
2022-10-19,42.520000,42.775002,40.599998,41.220001,41.220001,11761100
2022-10-20,41.639999,43.650002,41.400002,42.160000,42.160000,10832700
2022-10-21,41.340000,42.200001,40.610001,42.150002,42.150002,8515900
2022-10-24,35.775002,36.919998,33.169998,36.660000,36.660000,29614400
2022-10-25,38.150002,38.790001,37.070000,37.770000,37.770000,15122300
2022-10-26,37.799999,42.570000,37.480000,41.040001,41.040001,22836100
2022-10-27,39.599998,40.700001,39.200001,39.500000,39.500000,10699500
2022-10-28,37.139999,37.930000,36.689999,37.860001,37.860001,13592200
2022-10-31,37.570000,38.294998,37.110001,37.290001,37.290001,9762000
2022-11-01,40.470001,40.540001,38.240002,38.439999,38.439999,12171600
2022-11-02,39.919998,41.130001,39.160000,39.840000,39.840000,13751800
2022-11-03,38.340000,41.180000,38.090000,40.439999,40.439999,11091800
2022-11-04,44.389999,44.840000,42.520000,44.380001,44.380001,20365400
